"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"215","08024",,,,580,,,,,,,14800,,,,,9200,,80280,,,,,,,,,,
"216","08025",,,,506.54,,,,,,,30000,,,,,6500,,,,,,,,,,,,
"217","08026",,,,570,,,,,,,14600,,,,,9700,,,,,,,,,3720,,,
"218","08027",,,,550,,,,,,,13342.49,,,,,2432.43,,,,,,,,,,,,
"219","08028",,,,480,,,,,,,,,,,,,,80360,,,,,,,3700,,,
"220","08029",,,,554.9,,,,,,,13678.33,,,,,2481.95,,,,,,,,,,,,
"221","08030",,,,410,,,,,,,,,,,,2361.89,,,,,,,,,,,,
"222","08031",,,,1723.07,,,,,,,62210.53,,,,,19265.7,,,,,,,,,,,,
"223","08032",,,,1260,,,,5706.81,,,30000,,,,,,,76824.91,,,,,,,,,,
"224","08033",,,,875,,,,,,,15000,,,,,,,69805.6,,,,,,,,,,
"225","08034",,,,498.6,,,,,,,15000,,,,,7441.79,,,,,,,,,,,,
"226","08035",,,,510,,,,7737.01,,,26800,,,,,,,80280,,,3100,,,,3400,,,
"227","08036",,,,780.84,,,,11140.31,,,46500,,,,,,,160693,,,,,,,,,,
"228","08037",,,,480,,,,7500,,,,,,,,,,80358,,,,,8000,,3700,,,
"229","08038",,,,873.33,,,,18439.57,,,,,,,,,,160632,,,,,,,3600,,,
"230","08039",,,,920,,,,4879.07,,,,,,,,,,80347,,,,,,,,,,
"231","08040",,,,495,,,,,,,30000,,,,,6951.35,,,,,,,,,,,,
"232","08041",,,,,,,,,,,15874.38,,,,,2960.02,,,,,,,,,,,,
"233","08042",,,,660,,,,,,,,,,,,,,80260,,,,,,,,,,
"234","08043",,,,861.45,,,,,,,28000,,,,,9600,,,,,,,,,,,,
"235","08044",,,,1308.81,,,,4750,,,30000,,,,,,,76174.31,,,,,,,3900,,,
"236","08045",,,,1495,,,,16329.66,,,,,,,,,,160701,,,,,12500,,7200,,,
"237","08046",,,,,,,,,,,15390.14,,,,,,,,,,,,,,,,,
"238","08047",,,,1110,,,,,,,14553.49,,,,,2444.38,,,,,,,,,,,,
"239","08048",,,,1456.59,,,,10000,,,60990.35,,,,,18504.87,,,,,,,,,4074,0,,
"240","08049",,,,580,,,,,,,14000,,,,,,,,,,,,,,,,,
"241","08050",,,,,,,,8281.48,,,14800,,,,,8800,,80290,,,3100,,,,3660,,,
"242","08051",,,,,,,,,,,14263.84,,,,,2712.83,,,,,,,,,,,,
"243","08052",,,,568.77,,,,6297.37,,,15000,,,,,,,80365,,,,,,,3600,,,
"244","08053",,,,480,,,,,,,,,,,,,,80347,,,,,,,3700,,,
"245","08054",,,,614.79,,,4500,,,,15130.86,,,,,9673,,,,,,,,,3874.28,,,
"246","08055",,,,1449,,,,16457.8,,,,,,,,,,160637,,,,,9000,,3600,8500,,
"247","08056",,,,870,,,,,,,15000,,,,,,,78227.33,,,,,,,,,,
