"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"274","10009",,,,3129,,,,,,,190,,,,,47,,,,,51,,,,,,,
"275","10010",,,,5482.5,,,,1.5,,,4155,,,,,21,,5,,,577,,,,120,,,
"276","10011",,,,3613,,,,22.4,,,4964,,,,,1,,27.57,,,1022,,,,150,,,
"277","10012",,,,2099.5,,,,41,,,7,,,,,,,842.25,,,,,4,,,,,
"278","10013",,,,726,,,,104.2,,,110,,,,,,,52.75,,,1407.5,,25,,617,,,
"279","10014",110,,,713,,,,3.5,,,43,,,,,,4,35,,,,,1,,,,,
"280","10015",,,,184.5,,,,2,,,161,,,,,,,1570.55,,,44,,8,,,,,
"281","10016",165,,,548,,,409,,,,10956.5,,,,,1,,27.5,,,103,,13.5,,248,,,
"282","10017",,,,6564,,,,62.2,,,3302,,,,,11.25,,131.89,,,45,,,,10,,,
"283","10018",,,,937,,,,34,,,153,,,,,,,,,,,,,,,,,
"284","10019",,2,,650,,,,,,,75,,,,,1.5,,,,,,,,,,,,
"285","10020",,,,1560,,,,,,,17330,,,,,,,72,,,,,12,,,,,
"286","10021",,,,695,,,331,83.5,,,16921,230,,,,,,283,,,284,,0.25,,5,,,
"287","10022",,,,2020,,,693,,,,18750,,,,,,,203,,,,,6,,3690,,,
"288","10023",,352.5,,3742.17,,,,,,,160,,,,103,268,84,,,,,,,73,,,,
"289","10024",,,,183.96,,,,,,,99,,,,,,,431,,,,,,,,,,
"290","10025",,,,1395,,,,3.61,,,386,,,,,,,25,,,,,,,,,,
"291","10026",,303,,3468.5,,,,,,,335,,,,160,342,81,,,,,,,24,,,,
"292","10027",,,,83,,,,,,,890,,,,,,,8,,,,,,,,,,
"293","10028",,,,1462,,,,180,,,3151,,,,,,,134,,,,,,,,,,
"294","10029",,,,584,,,,,,,82,,,,,,,,,,,,,,93,,,
"295","10030",,,,768,,,,,,,168,,,,,,,,,,,,,,23,,,
"296","10031",,,,1796,,,62,33,,,15961,,,,,,,,,,5,,,,,,,
"297","10032",,,,12750,,,330,95,,,3200,,,,,62,,40,,,280,,,,340,,,
"298","10033",50,,,492,,,,,,,4919,,,,,,,190,,,,,,,316,,,
