"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"1990","29044",,,,187503.78,,,,,,,133842.99,,,,,,,,,,,,,,,,,
"1991","29045",,,,347649,,11346,5397275.74,,,,297674.5,,,,,,,,,,,,,,2852064.48,,,
"1992","29046",,,,248073,,,,,,,,,,,,334125,,,,,,,,,669762,,,
"1993","29047",,,,83714.4,,,557867.78,,,,,,,,,,,,,,,,1317000.2,,615860.29,,,
"1994","29048",,,,53709.58,,,,,,,133014,,,,,,,,,,,,,,,,,
"1995","29049",,,,490658.1,,,,,,,493979.1,,,,,,,,,,,,,,,,,
"1996","29050",,,,103477.5,,,,,,,65681,,,,,,,,,,,,,,,,,
"1997","29051",,,,310718.38,,,,,,,136372,,,,,,,,,,,,,,,,,
"1998","29052",,,,2039914.8,,,3696152.46,,,,,,,,,,,,,,,,,,5146074.59,,,
"1999","29053",,,,41300,,,,,,,76897.2,,,,,,,,,,,,,,,,,
"2000","29054",,,,90374.04,,,,,,,90612.89,,,,,,,,,,,,,,,,,
"2001","29055",,,,140434.56,,,1274658,,,,133690,,,,,,,,,,,,,,365945.62,,,
"2002","29056",,,,182257.01,,,,,,,514357.95,,,,,,,,,,,,,,,,,
"2003","29057",,,,745593.08,,,,,,,494050.4,,,,,,,,,,,,,,,,,
"2004","29058",,,,,,,,,,,76996,,,,,,,,,,,,,,,,,
"2005","29059",,,,,,,,,,,51840,,,,,,,,,,,,,,,,,
"2006","29060",,,,25612,,,,,,,48218.49,,,,,,,,,,,,,,,,,
"2007","30003",,,,,,,,1860208.09,,,2888298,,,,2677860,,874181.7,,18779428.29,699431.76,5083340.4,,,,,,,
"2008","30004",,,,,,,,7176368.2,,,1363852,,,,54359808.24,,,,,15617235.48,,,28744991.59,,,,,
"2009","30005",,,,,,,,,,,302152.4,,,,48276,,,,,,,,,,,,,
"2010","30006",,,,576007.8,,,,644000,,,8702891.25,,,,,,,,,,,,2682057,,,,,
"2011","30007",,,,,,,,1251880,,,1090784.97,,,,544320,,,,,3210594.39,,,,,,,,
"2012","30008",,5915267.82,,,,,,,,,2198106.37,,,,,,,,,,,,,,,,,
"2013","30009",,,,,,,,52040260.14,,,1866555.7,,,,6329274.75,,,,,,,,44151658.18,,,,,
"2014","30010",,26018870.4,,,,,,,,,810029.4,,,,,24999450,,,,,,,,,392386.88,,,
"2015","30011",,,2093574.15,,,,,,,,1392426,,,,221255.51,,,,,,,,,,,,,
"2016","30012",,,,,,,,,,,209148,,,,50616,,,,,,,,,,,,,
"2017","30013",,,,,,,,,,,1810494,,,,,,4415551.92,,,,,,,871100.76,,,,
"2018","30014",,,,,,,,,,,110845.14,,,,,,,,,,,,,,,,,
"2019","30015",,,,,,,,,,,48510,,,,,,1015200,,,,,,,,,,,
"2020","30016",,,,,,,,,,,135840,,,,456470.22,,,,,,,,,,,,,
"2021","30017",,,,,,,,,,,128799.97,,,,525000,,,,,1186054.42,,,,,,,,
"2022","30018",,,,,,,,,,,40519.44,,,,,,,,,,,,,,,,,
"2023","30019",,,,,,,,,,,758553.6,,,,,249571.15,,,,,,,,,,,,
"2024","30020",,,,,,,,,,,1355236.92,,,,,289864,,,,,,,,,,,,
"2025","30021",,,,,,,,,,,106747.2,,,,1329250.9,,,,,,,,,,,,,
"2026","30022",,,,,,,,,,,993868.35,,,,,,,,,,,,600978,,,,,
"2027","30023",0,8415000,,,,,,,,,2332080.24,,,,,,95076400,,,,,,,15634578.6,,,117800,
"2028","30024",,1177000.44,,,,,,,,,2274402.41,,,,14944489.2,,,,,1408501.35,,,,,,,,
"2029","30025",,614965.95,,467475.29,,,,,,,1269764.89,,,,,435912.95,,,,,,,,,259017.44,,,
"2030","30027",,,,,,,,,,,12831000,,,,,,124096143.6,,,,,,,,,,,
"2031","30029",,7399210.5,,,,,,,,,2309379.85,,,,,,,,,,,,,,,,,
"2032","30030",,,,,,,,,,,581220.2,,,,,,,,,,,,,,,,,
"2033","30031",,,,,,,,,,,327780.4,,,,6551595.2,,,,,,,,,,,,,
"2034","30032",,,,,,,,22852800,,,1477045.58,,,,,,1006400,,,,,,,,,,,
"2035","30033",,,,,,,,35520000,,,1544130,,,,,,54636235.36,,,,,,,31335710.19,,,4345600,
"2036","30034",,,,,,,,,,,,,,,,,561450,,,,,,,,,,,
"2037","30035",,,,,,,,,,,391525.4,,,,,,590789.39,,,,,,,,,,,
"2038","30037",,,,,,,,,,,29177.6,,,,,,,,,,,,,,,,,
"2039","30038",,,,,,,,,,,146299.93,,,,128500.02,,109500,,,,,,,,,,,240900
"2040","30039",,,,,,,,,,,638163,,,,,,278280.24,,,,,,,,,,,
"2041","30040",,,,,,,,,,,622932,,,,,,21896677.05,,,,,,,,,,335972,
"2042","30041",,,,,,,,,,,147784,,,,,,,,,,,,,,,,,
"2043","30042",,,,,,,,1448799.84,,,521182.5,,,,,,582298.92,,,,,,,,,,255690,
"2044","30043",,,,,,,,1911392,,,5622342.22,,,,,,,,,,,,,,,,,
"2045","30044",,,,,,,,,,,863524.59,,,,,,,,,,,,,,,,,
"2046","30045",,,8127000,,,,,,,,263500.8,,,,124416,,,,,,2754000,,,,,,,
"2047","30046",,,,,,,,,,,110000.02,,,,,,,,,,,,,,,,,
"2048","30047",,22000487.6,,,,,,,,,9247133.54,,,,,,,,,,,,,,,,,
"2049","30048",,,,,,,,,,,335616,,,,,,338000,,873264,,,,,,,,,
"2050","30049",,,,,,,,4755452.24,,,12592120.58,,,,38509105.95,,783226.13,,,103122425.6,702875.25,,,6511664.7,,,,
"2051","30050",,,,,,,,357750,,,51735.3,,,,,,4917977.32,,,,,,,,,,,
"2052","30051",,,,,,,,378930,,,59100,,,,,,3942335.8,,,,,,,,,,,
"2053","30052",,,,,,,,,,,225304.81,,,,,,1437668.96,,,,,,,,,,,
"2054","30053",,,,,,,,,,,228055.68,,,,14455310.7,,,,,,,,,,,,,
"2055","30054",,,,,,,,,,,350610,,,,1094856,,,,,,,,,,,,,
"2056","30055",,,,,,,,2802010,,,1278451,,,,,,5706361.96,,,3267682.6,,,3137500,,,,,
"2057","30056",,,,,,,,,,,1257801.6,,,,,,1170643.2,,,,,,,,,,,
"2058","30057",,,,,,,,,,,340725.31,,,,,,,,,,,,,,,,,
"2059","30058",,,,,,,,,,,33201000,,,,,,246178284.6,,,,,,,,,,,
"2060","30059",,,,,,,,,,,607549.36,,,,,,1933104.64,,9260460.61,825692.87,,,,,,,,
"2061","30060",,,,,,,,,,,1329563,,,,,,6804946.77,,,,,,,,,,,
"2062","30061",,,,,,,,18199350,,,4166904,,,,,,492759.58,,,,,,,,,,,
"2063","30062",,,,,,,,,,,540325.8,,,,,,,,,,,,,,,,,
"2064","30063",,,,,,,,,,,1665882,,,,,,4337010.26,,,,,,,,,,,
"2065","30064",,,,,,,,216900,,,38887.5,,,,,,2119746.3,,,,,,,,,,,
"2066","30065",,,,,,,,2731922.51,,,594840.09,,,,4180675.5,,107940,,,7035970.75,,,51009345.2,,,,,
"2067","30066",,,,,,,,578764.8,,,79509,,,,,,30607586.59,,,,,,,3779138.64,,,,
"2068","30067",,,,,,,,,,,32022.9,,,,,,,,,,,,,,,,,
"2069","30068",,,,,,,,,,,36770.37,,,,,,,,,,,,,,,,,
"2070","30069",,,,,,,,961219.6,,,1038000.74,,,,,,147494366.9,,,8397278.5,,,,31387570.5,,,4577574,
"2071","30070",,,,,,,,,,,1673330.4,,,,,,12662740,,646229,,,,,,,,,
